1;SONOVA AG;BOLERO B 30 P;NIE;1682;PHONAK BOLERO B;P.084.00        ;APARAT SŁUCHOWY NA PRZEWODNICTWO POWIETRZNE PRZY JEDNOSTRONNYM UBYTKU SŁUCHU, ALBO DWA APARATY SŁUCHOWE NA PRZEWODNICTWO POWIETRZNE PRZY OBUSTRONNYM UBYTKU SŁUCHU - PACJENCI POWYŻEJ 26 RŻ.                                                              ;3150.00
2;BERNAFON AG;ZERENA 9 B 105;NIE;1726;ZERENA 9 BTE;P.084.00        ;APARAT SŁUCHOWY NA PRZEWODNICTWO POWIETRZNE PRZY JEDNOSTRONNYM UBYTKU SŁUCHU, ALBO DWA APARATY SŁUCHOWE NA PRZEWODNICTWO POWIETRZNE PRZY OBUSTRONNYM UBYTKU SŁUCHU - PACJENCI POWYŻEJ 26 RŻ.                                                              ;8100.00
3;SONOVA AG;VIRTO B30 13;NIE;1748;PHONAK VIRTO B;P.084.00        ;APARAT SŁUCHOWY NA PRZEWODNICTWO POWIETRZNE PRZY JEDNOSTRONNYM UBYTKU SŁUCHU, ALBO DWA APARATY SŁUCHOWE NA PRZEWODNICTWO POWIETRZNE PRZY OBUSTRONNYM UBYTKU SŁUCHU - PACJENCI POWYŻEJ 26 RŻ.                                                              ;3100.00
4;STARKEY HEARING TECHNOLOGIES;A4 WRLS SILVER RIC 312;NIE;09052019_42;AUDIBEL A4 WRLS SILVER RIC 312;P.084.00        ;APARAT SŁUCHOWY NA PRZEWODNICTWO POWIETRZNE PRZY JEDNOSTRONNYM UBYTKU SŁUCHU, ALBO DWA APARATY SŁUCHOWE NA PRZEWODNICTWO POWIETRZNE PRZY OBUSTRONNYM UBYTKU SŁUCHU - PACJENCI POWYŻEJ 26 RŻ.                                                              ;3950.00
5;STARKEY HEARING TECHNOLOGIES;A4 IQ GOLD ITE;NIE;09052019_146;AUDIBEL  A4 IQ GOLD ITE;P.084.00        ;APARAT SŁUCHOWY NA PRZEWODNICTWO POWIETRZNE PRZY JEDNOSTRONNYM UBYTKU SŁUCHU, ALBO DWA APARATY SŁUCHOWE NA PRZEWODNICTWO POWIETRZNE PRZY OBUSTRONNYM UBYTKU SŁUCHU - PACJENCI POWYŻEJ 26 RŻ.                                                              ;5400.00
6;STARKEY HEARING TECHNOLOGIES;A4 IQ SILVER WRLS RIC 312;NIE;09052019_125;AUDIBEL  A4 IQ SILVER WRLS RIC 312;P.084.00        ;APARAT SŁUCHOWY NA PRZEWODNICTWO POWIETRZNE PRZY JEDNOSTRONNYM UBYTKU SŁUCHU, ALBO DWA APARATY SŁUCHOWE NA PRZEWODNICTWO POWIETRZNE PRZY OBUSTRONNYM UBYTKU SŁUCHU - PACJENCI POWYŻEJ 26 RŻ.                                                              ;3950.00
7;STARKEY HEARING TECHNOLOGIES;START IQ 1000 WRLS BTE 13;NIE;09052019_84;AUDIBEL  START IQ 1000 WRLS BTE 13;P.084.00        ;APARAT SŁUCHOWY NA PRZEWODNICTWO POWIETRZNE PRZY JEDNOSTRONNYM UBYTKU SŁUCHU, ALBO DWA APARATY SŁUCHOWE NA PRZEWODNICTWO POWIETRZNE PRZY OBUSTRONNYM UBYTKU SŁUCHU - PACJENCI POWYŻEJ 26 RŻ.                                                              ;2750.00
8;STARKEY HEARING TECHNOLOGIES;A4 IQ CROS BICROS RIC 312;NIE;09052019_128;AUDIBEL  A4 IQ CROS BICROS RIC 312;P.084.00        ;APARAT SŁUCHOWY NA PRZEWODNICTWO POWIETRZNE PRZY JEDNOSTRONNYM UBYTKU SŁUCHU, ALBO DWA APARATY SŁUCHOWE NA PRZEWODNICTWO POWIETRZNE PRZY OBUSTRONNYM UBYTKU SŁUCHU - PACJENCI POWYŻEJ 26 RŻ.                                                              ;2950.00
9;STARKEY HEARING TECHNOLOGIES;A4 WRLS GOLD BTE 312;NIE;09052019_2;AUDIBEL A4 WRLS GOLD BTE 312;P.084.00        ;APARAT SŁUCHOWY NA PRZEWODNICTWO POWIETRZNE PRZY JEDNOSTRONNYM UBYTKU SŁUCHU, ALBO DWA APARATY SŁUCHOWE NA PRZEWODNICTWO POWIETRZNE PRZY OBUSTRONNYM UBYTKU SŁUCHU - PACJENCI POWYŻEJ 26 RŻ.                                                              ;5400.00
10;STARKEY HEARING TECHNOLOGIES;A4I IQ GOLD WRLS RIC 312;NIE;09052019_158;AUDIBEL A4I IQ GOLD WRLS RIC 312;P.084.00        ;APARAT SŁUCHOWY NA PRZEWODNICTWO POWIETRZNE PRZY JEDNOSTRONNYM UBYTKU SŁUCHU, ALBO DWA APARATY SŁUCHOWE NA PRZEWODNICTWO POWIETRZNE PRZY OBUSTRONNYM UBYTKU SŁUCHU - PACJENCI POWYŻEJ 26 RŻ.                                                              ;5400.00
